lp;date;instrument_type;name;ISIN;open;high;low;close;change;volume;number_of_transactions;exchange_value_in_thousands_of_pln;number_of_opened_positions;value_of_opened_positions_in_milions_of_pln;nominal_price_of_obligation_bonds;currency
1;1997-07-04;10;KGHM;PLKGHM000017;0;0;0;0;0;0;0;0;0;0;0;
2;1997-07-10;10;KGHM;PLKGHM000017;0;0;0;23.5;0;2462896;0;115756.11;0;0;0;
3;1997-07-11;10;KGHM;PLKGHM000017;0;0;0;24;2;1557823;0;74775.5;0;0;0;
4;1997-07-14;10;KGHM;PLKGHM000017;0;0;0;21.6;-10;398338;0;17208.2;0;0;0;
5;1997-07-15;10;KGHM;PLKGHM000017;0;0;0;19.5;-10;832433;0;32464.89;0;0;0;
6;1997-07-16;10;KGHM;PLKGHM000017;0;0;0;21.4;10;570776;0;24429.21;0;0;0;
7;1997-07-17;10;KGHM;PLKGHM000017;0;0;0;21.8;2;769327;64;629.48;0;0;0;
8;1997-07-18;10;KGHM;PLKGHM000017;0;0;0;21.5;-1;267499;39;794.6;0;0;0;
9;1997-07-21;10;KGHM;PLKGHM000017;0;0;0;21.5;0;366017;35;835.1;0;0;0;
10;1997-07-22;10;KGHM;PLKGHM000017;0;0;0;21.5;0;237308;25;8849.74;0;0;0;
11;1997-07-23;10;KGHM;PLKGHM000017;0;0;0;21.7;1;203500;27;8094.1;0;0;0;
12;1997-07-24;10;KGHM;PLKGHM000017;0;0;0;21.5;-1;248015;19;991.6;0;0;0;
13;1997-07-25;10;KGHM;PLKGHM000017;0;0;0;21.4;-1;197958;23;8055.3;0;0;0;
14;1997-07-28;10;KGHM;PLKGHM000017;0;0;0;21;-2;206335;23;7542.57;0;0;0;
15;1997-07-29;10;KGHM;PLKGHM000017;0;0;0;20.5;-2;118095;16;4554.9;0;0;0;
16;1997-07-30;10;KGHM;PLKGHM000017;0;0;0;20.8;2;131624;26;909;0;0;0;
17;1997-07-31;10;KGHM;PLKGHM000017;0;0;0;21.2;2;130896;22;561.8;0;0;0;
18;1997-08-01;10;KGHM;PLKGHM000017;0;0;0;20.8;-2;97680;22;388.35;0;0;0;
19;1997-08-04;10;KGHM;PLKGHM000017;0;0;0;21;1;138546;25;929.65;0;0;0;
20;1997-08-05;10;KGHM;PLKGHM000017;0;0;0;21.2;1;204863;43;7498.99;0;0;0;
21;1997-08-06;10;KGHM;PLKGHM000017;0;0;0;21.5;1;149767;31;659.55;0;0;0;
22;1997-08-07;10;KGHM;PLKGHM000017;0;0;0;21.4;-1;187387;108;4585.46;0;0;0;
23;1997-08-08;10;KGHM;PLKGHM000017;0;0;0;22.4;5;370895;109;3398.6;0;0;0;
24;1997-08-11;10;KGHM;PLKGHM000017;0;0;0;23;3;266607;87;2141.7;0;0;0;
25;1997-08-12;10;KGHM;PLKGHM000017;0;0;0;22.3;-3;220432;101;7434.02;0;0;0;
26;1997-08-13;10;KGHM;PLKGHM000017;0;0;0;23;3;308956;36;600.45;0;0;0;
27;1997-08-14;10;KGHM;PLKGHM000017;0;0;0;22.2;-4;128114;52;656.03;0;0;0;
28;1997-08-18;10;KGHM;PLKGHM000017;0;0;0;21.9;-1;123164;20;5109.88;0;0;0;
29;1997-08-19;10;KGHM;PLKGHM000017;0;0;0;22.2;1;230421;109;8077.29;0;0;0;
30;1997-08-20;10;KGHM;PLKGHM000017;0;0;0;22.8;3;225878;33;9559.04;0;0;0;
31;1997-08-21;10;KGHM;PLKGHM000017;0;0;0;22;-4;78280;26;546.6;0;0;0;
32;1997-08-22;10;KGHM;PLKGHM000017;0;0;0;21.7;-1;75012;36;849.35;0;0;0;
33;1997-08-25;10;KGHM;PLKGHM000017;0;0;0;21.8;1;70254;53;886.15;0;0;0;
34;1997-08-26;10;KGHM;PLKGHM000017;0;0;0;21.5;-1;81948;24;392.2;0;0;0;
35;1997-08-27;10;KGHM;PLKGHM000017;0;0;0;21.7;0.9;77024;16;3114.99;0;0;0;
36;1997-08-28;10;KGHM;PLKGHM000017;0;0;0;22.3;2.8;306653;1177;2648.9;0;0;0;
37;1997-08-29;10;KGHM;PLKGHM000017;0;0;0;22.5;0.9;328145;1555;704.95;0;0;0;
38;1997-09-01;10;KGHM;PLKGHM000017;0;0;0;22.1;-1.8;87248;18;3535.91;0;0;0;
39;1997-09-02;10;KGHM;PLKGHM000017;0;0;0;22.5;1.8;202919;1141;6971.36;0;0;0;
40;1997-09-03;10;KGHM;PLKGHM000017;0;0;0;22.8;1.3;387980;1635;4179.3;0;0;0;
41;1997-09-04;10;KGHM;PLKGHM000017;0;0;0;22.8;0;202158;1258;8500.2;0;0;0;
42;1997-09-05;10;KGHM;PLKGHM000017;0;0;0;22.5;-1.3;174059;803;5751.41;0;0;0;
43;1997-09-08;10;KGHM;PLKGHM000017;0;0;0;22.6;0.4;68979;620;901;0;0;0;
44;1997-09-09;10;KGHM;PLKGHM000017;0;0;0;22.3;-1.3;132562;726;862.3;0;0;0;
45;1997-09-10;10;KGHM;PLKGHM000017;0;0;0;22.3;0;129187;811;741;0;0;0;
46;1997-09-11;10;KGHM;PLKGHM000017;0;0;0;22.1;-0.9;130417;45;596.45;0;0;0;
47;1997-09-12;10;KGHM;PLKGHM000017;0;0;0;22.3;0.9;117810;850;638.85;0;0;0;
48;1997-09-15;10;KGHM;PLKGHM000017;0;0;0;22.2;-0.4;105231;727;537.45;0;0;0;
49;1997-09-16;10;KGHM;PLKGHM000017;0;0;0;22.2;0;116901;851;4724.2;0;0;0;
50;1997-09-17;10;KGHM;PLKGHM000017;0;0;0;21.9;-1.4;126415;752;891.45;0;0;0;
51;1997-09-18;10;KGHM;PLKGHM000017;0;0;0;21.6;-1.4;183864;801;803.4;0;0;0;
52;1997-09-19;10;KGHM;PLKGHM000017;0;0;0;22.5;4.2;468130;1672;4872.3;0;0;0;
53;1997-09-22;10;KGHM;PLKGHM000017;0;0;0;23;2.2;294436;3103;924.75;0;0;0;
54;1997-09-23;10;KGHM;PLKGHM000017;0;0;0;22.7;-1.3;200482;1051;7853.38;0;0;0;
55;1997-09-24;10;KGHM;PLKGHM000017;0;0;0;22.1;-2.6;142612;750;726.75;0;0;0;
56;1997-09-25;10;KGHM;PLKGHM000017;0;0;0;21.9;-0.9;210256;739;6022.76;0;0;0;
57;1997-09-26;10;KGHM;PLKGHM000017;0;0;0;21.6;-1.4;185060;728;6763.39;0;0;0;
58;1997-09-29;10;KGHM;PLKGHM000017;0;0;0;21.7;0.5;148542;644;860.25;0;0;0;
59;1997-09-30;10;KGHM;PLKGHM000017;0;0;0;22.1;1.8;133590;815;830.7;0;0;0;
60;1997-10-01;10;KGHM;PLKGHM000017;0;0;0;22;-0.5;232401;965;864.65;0;0;0;
61;1997-10-02;10;KGHM;PLKGHM000017;0;0;0;22;-0.5;183920;1039;6960.7;0;0;0;
62;1997-10-03;10;KGHM;PLKGHM000017;0;0;0;22;0.5;485179;2106;694.08;0;0;0;
63;1997-10-06;10;KGHM;PLKGHM000017;0;0;0;22;0;506864;2576;2781.7;0;0;0;
64;1997-10-07;10;KGHM;PLKGHM000017;0;0;0;22;0;495579;3295;3417.55;0;0;0;
65;1997-10-08;10;KGHM;PLKGHM000017;0;0;0;22.7;3.2;783773;235;7828.35;0;0;0;
